name,metascore,artist_name,user_score,release_date
Good at Falling,82,The Japanese House,User: 8.4,"Mar 1, 2019"
How to Live,82,Modern Nature,User: tbd,"Aug 23, 2019"
I Was Real,82,75 Dollar Bill,User: tbd,"Jun 28, 2019"
Cows on Hourglass Pond,82,Avey Tare,User: 8.2,"Mar 22, 2019"
This (Is What I Wanted to Tell You),82,Lambchop,User: 7.0,"Mar 22, 2019"
Get Tragic,82,Blood Red Shoes,User: 6.9,"Jan 25, 2019"
True North,82,Michael Chapman,User: 6.4,"Feb 8, 2019"
Nighttime Stories,82,Pelican,User: 7.5,"Jun 7, 2019"
Fear Inoculum,82,Tool,User: 7.9,"Aug 30, 2019"
Ventura,82,Anderson .Paak,User: 8.2,"Apr 12, 2019"
Sunshine Rock,82,Bob Mould,User: 7.3,"Feb 8, 2019"
Final Transmission,82,Cave In,User: tbd,"Jun 7, 2019"
Why Hasn't Everything Already Disappeared?,82,Deerhunter,User: 7.6,"Jan 18, 2019"
What We Say in Private,82,Ada Lea,User: tbd,"Jul 19, 2019"
